z,x,y
4434,-5726.9,-3.2316
4438.9,-5737.9,-3.2449
4443.8,-5748.9,-3.2581
4448.7,-5759.9,-3.2715
4453.6,-5770.8,-3.2848
4458.4,-5781.8,-3.2981
4463.2,-5792.7,-3.3115
4468,-5803.6,-3.3248
4472.7,-5814.5,-3.3382
4477.4,-5825.4,-3.3516
4482.1,-5836.2,-3.365
4486.7,-5847.1,-3.3785
4491.3,-5857.9,-3.3919
4495.9,-5868.7,-3.4054
4500.4,-5879.5,-3.4189
4504.9,-5890.2,-3.4324
4509.4,-5901,-3.4459
4513.8,-5911.7,-3.4594
4518.2,-5922.4,-3.473
4522.6,-5933.1,-3.4865
4526.9,-5943.8,-3.5001
4531.3,-5954.4,-3.5136
4535.5,-5965.1,-3.5272
4539.8,-5975.7,-3.5408
4544,-5986.3,-3.5544
4548.2,-5996.9,-3.568
4552.4,-6007.5,-3.5817
4556.5,-6018.1,-3.5953
4560.6,-6028.6,-3.609
4564.6,-6039.1,-3.6227
4568.7,-6049.6,-3.6364
4572.7,-6060.1,-3.6501
4576.6,-6070.6,-3.6639
4580.6,-6081.1,-3.6777
4584.5,-6091.5,-3.6914
4588.4,-6102,-3.7052
4592.2,-6112.4,-3.719
4596,-6122.8,-3.7328
4599.8,-6133.2,-3.7466
4603.6,-6143.5,-3.7605
4607.3,-6153.9,-3.7743
4611,-6164.2,-3.7882
4614.7,-6174.5,-3.802
4618.3,-6184.8,-3.8159
4621.9,-6195.1,-3.8298
4625.5,-6205.4,-3.8437
4629,-6215.7,-3.8577
4632.6,-6225.9,-3.8716
4636,-6236.1,-3.8856
4639.5,-6246.4,-3.8996
4642.9,-6256.6,-3.9136
4646.3,-6266.7,-3.9276
4649.7,-6276.9,-3.9416
4653,-6287.1,-3.9557
4656.3,-6297.2,-3.9698
4659.6,-6307.4,-3.9838
4662.9,-6317.5,-3.9979
4666.1,-6327.6,-4.012
4669.3,-6337.7,-4.0261
4672.5,-6347.7,-4.0403
4675.6,-6357.8,-4.0544
4678.7,-6367.8,-4.0685
4681.8,-6377.9,-4.0827
4684.8,-6387.9,-4.0969
4687.8,-6397.9,-4.1111
4690.8,-6407.9,-4.1253
4693.8,-6417.8,-4.1395
4696.7,-6427.8,-4.1537
4699.6,-6437.7,-4.168
4702.5,-6447.7,-4.1823
4705.4,-6457.6,-4.1966
4708.2,-6467.5,-4.2109
4711,-6477.4,-4.2252
4713.7,-6487.3,-4.2395
4716.5,-6497.1,-4.2539
4719.2,-6507,-4.2683
4721.9,-6516.8,-4.2826
4724.5,-6526.6,-4.297
4727.1,-6536.5,-4.3114
4729.7,-6546.3,-4.3258
4732.3,-6556,-4.3402
4734.8,-6565.8,-4.3547
4737.4,-6575.6,-4.3691
4739.8,-6585.3,-4.3836
4742.3,-6595.1,-4.398
4744.7,-6604.8,-4.4125
4747.1,-6614.5,-4.427
4749.5,-6624.2,-4.4415
4751.8,-6633.9,-4.4561
4754.2,-6643.6,-4.4706
4756.5,-6653.2,-4.4852
4758.7,-6662.9,-4.4997
4760.9,-6672.5,-4.5143
4763.2,-6682.1,-4.5289
4765.3,-6691.7,-4.5436
4767.5,-6701.3,-4.5582
4769.6,-6710.9,-4.5728
4771.7,-6720.5,-4.5875
4773.8,-6730,-4.6022
4775.8,-6739.6,-4.6169
4777.9,-6749.1,-4.6316
4779.8,-6758.7,-4.6463
4781.8,-6768.2,-4.661
4783.7,-6777.7,-4.6757
4785.7,-6787.2,-4.6905
4787.5,-6796.6,-4.7053
4789.4,-6806.1,-4.72
4791.2,-6815.6,-4.7348
4793,-6825,-4.7496
4794.8,-6834.4,-4.7644
4796.6,-6843.9,-4.7793
4798.3,-6853.3,-4.7941
4800,-6862.7,-4.809
4801.6,-6872,-4.8239
4803.3,-6881.4,-4.8388
4804.9,-6890.8,-4.8537
4806.5,-6900.1,-4.8686
4808.1,-6909.5,-4.8835
4809.6,-6918.8,-4.8985
4811.1,-6928.1,-4.9134
4812.6,-6937.4,-4.9284
4814,-6946.7,-4.9434
4815.5,-6956,-4.9584
4816.9,-6965.3,-4.9734
