t,h,v,e,n
10.108,2907.8,250.41,-53.401,3651.8
10.113,2908.4,249.91,-53.387,3652.7
10.117,2909.1,249.41,-53.372,3653.7
10.122,2909.8,248.91,-53.358,3654.7
10.127,2910.5,248.41,-53.343,3655.7
10.132,2911.1,247.92,-53.328,3656.7
10.137,2911.8,247.42,-53.313,3657.7
10.142,2912.5,246.92,-53.298,3658.7
10.147,2913.2,246.42,-53.283,3659.7
10.152,2913.9,245.92,-53.268,3660.7
10.157,2914.5,245.42,-53.252,3661.8
10.162,2915.2,244.93,-53.236,3662.8
10.167,2915.9,244.43,-53.221,3663.8
10.172,2916.6,243.93,-53.205,3664.8
10.177,2917.3,243.43,-53.189,3665.8
10.182,2918,242.93,-53.172,3666.8
10.187,2918.7,242.43,-53.156,3667.9
10.192,2919.4,241.94,-53.139,3668.9
10.197,2920.1,241.44,-53.123,3669.9
10.202,2920.7,240.94,-53.106,3670.9
10.208,2921.4,240.44,-53.089,3672
10.213,2922.1,239.94,-53.071,3673
10.218,2922.8,239.44,-53.054,3674
10.223,2923.5,238.95,-53.037,3675.1
10.228,2924.2,238.45,-53.019,3676.1
10.234,2924.9,237.95,-53.001,3677.1
10.239,2925.6,237.45,-52.983,3678.2
10.244,2926.3,236.95,-52.965,3679.2
10.25,2927,236.46,-52.947,3680.3
10.255,2927.7,235.96,-52.928,3681.3
10.26,2928.5,235.46,-52.909,3682.4
10.266,2929.2,234.96,-52.891,3683.4
10.271,2929.9,234.46,-52.872,3684.5
10.277,2930.6,233.97,-52.852,3685.5
10.282,2931.3,233.47,-52.833,3686.6
10.288,2932,232.97,-52.814,3687.7
10.293,2932.7,232.47,-52.794,3688.7
10.299,2933.4,231.97,-52.774,3689.8
10.304,2934.1,231.48,-52.754,3690.8
10.31,2934.9,230.98,-52.734,3691.9
10.315,2935.6,230.48,-52.713,3693
10.321,2936.3,229.98,-52.693,3694.1
10.327,2937,229.48,-52.672,3695.1
10.332,2937.7,228.99,-52.651,3696.2
10.338,2938.5,228.49,-52.63,3697.3
10.344,2939.2,227.99,-52.609,3698.4
10.35,2939.9,227.49,-52.587,3699.5
10.355,2940.6,226.99,-52.566,3700.6
10.361,2941.4,226.5,-52.544,3701.6
10.367,2942.1,226,-52.522,3702.7
10.373,2942.8,225.5,-52.499,3703.8
10.379,2943.6,225,-52.477,3704.9
10.385,2944.3,224.51,-52.454,3706
10.391,2945,224.01,-52.432,3707.1
10.396,2945.8,223.51,-52.409,3708.2
10.402,2946.5,223.01,-52.385,3709.3
10.408,2947.2,222.52,-52.362,3710.5
10.414,2948,222.02,-52.338,3711.6
10.421,2948.7,221.52,-52.314,3712.7
10.427,2949.4,221.02,-52.29,3713.8
10.433,2950.2,220.53,-52.266,3714.9
10.439,2950.9,220.03,-52.242,3716
10.445,2951.7,219.53,-52.217,3717.2
10.451,2952.4,219.03,-52.192,3718.3
10.457,2953.2,218.54,-52.167,3719.4
10.464,2953.9,218.04,-52.142,3720.5
10.47,2954.7,217.54,-52.116,3721.7
10.476,2955.4,217.04,-52.091,3722.8
10.482,2956.2,216.55,-52.065,3724
10.489,2956.9,216.05,-52.038,3725.1
10.495,2957.7,215.55,-52.012,3726.2
10.502,2958.4,215.05,-51.985,3727.4
10.508,2959.2,214.56,-51.959,3728.5
10.514,2959.9,214.06,-51.932,3729.7
10.521,2960.7,213.56,-51.904,3730.8
10.527,2961.5,213.07,-51.877,3732
10.534,2962.2,212.57,-51.849,3733.1
10.54,2963,212.07,-51.821,3734.3
10.547,2963.8,211.57,-51.793,3735.5
10.554,2964.5,211.08,-51.764,3736.6
10.56,2965.3,210.58,-51.736,3737.8
10.567,2966.1,210.08,-51.707,3739
10.574,2966.8,209.59,-51.677,3740.2
10.58,2967.6,209.09,-51.648,3741.3
10.587,2968.4,208.59,-51.618,3742.5
10.594,2969.1,208.1,-51.588,3743.7
10.601,2969.9,207.6,-51.558,3744.9
10.608,2970.7,207.1,-51.528,3746.1
10.615,2971.5,206.61,-51.497,3747.3
10.622,2972.2,206.11,-51.466,3748.4
10.629,2973,205.61,-51.435,3749.6
10.635,2973.8,205.12,-51.404,3750.8
10.643,2974.6,204.62,-51.372,3752
10.65,2975.4,204.12,-51.34,3753.2
10.657,2976.2,203.63,-51.308,3754.4
10.664,2976.9,203.13,-51.275,3755.7
10.671,2977.7,202.63,-51.242,3756.9
10.678,2978.5,202.14,-51.209,3758.1
10.685,2979.3,201.64,-51.176,3759.3
10.693,2980.1,201.14,-51.142,3760.5
10.7,2980.9,200.65,-51.108,3761.7
10.707,2981.7,200.15,-51.074,3763
10.714,2982.5,199.65,-51.04,3764.2
10.722,2983.3,199.16,-51.005,3765.4
10.729,2984.1,198.66,-50.97,3766.7
10.737,2984.9,198.16,-50.935,3767.9
10.744,2985.7,197.67,-50.899,3769.1
10.752,2986.5,197.17,-50.863,3770.4
10.759,2987.3,196.68,-50.827,3771.6
10.767,2988.1,196.18,-50.791,3772.9
10.774,2988.9,195.68,-50.754,3774.1
10.782,2989.7,195.19,-50.717,3775.4
10.79,2990.5,194.69,-50.679,3776.6
10.798,2991.3,194.2,-50.642,3777.9
10.805,2992.1,193.7,-50.604,3779.2
10.813,2993,193.2,-50.565,3780.4
10.821,2993.8,192.71,-50.527,3781.7
10.829,2994.6,192.21,-50.488,3783
10.837,2995.4,191.72,-50.448,3784.3
10.845,2996.2,191.22,-50.409,3785.5
10.853,2997,190.73,-50.369,3786.8
10.861,2997.9,190.23,-50.329,3788.1
10.869,2998.7,189.73,-50.288,3789.4
10.877,2999.5,189.24,-50.247,3790.7
10.885,3000.3,188.74,-50.206,3792
10.893,3001.2,188.25,-50.164,3793.3
10.902,3002,187.75,-50.122,3794.6
10.91,3002.8,187.26,-50.08,3795.9
10.918,3003.6,186.76,-50.037,3797.2
10.926,3004.5,186.27,-49.994,3798.5
10.935,3005.3,185.77,-49.951,3799.8
10.943,3006.1,185.28,-49.907,3801.1
10.952,3007,184.78,-49.863,3802.5
10.96,3007.8,184.29,-49.819,3803.8
10.969,3008.7,183.79,-49.774,3805.1
10.977,3009.5,183.3,-49.729,3806.4
10.986,3010.3,182.8,-49.684,3807.8
10.995,3011.2,182.31,-49.638,3809.1
11.004,3012,181.81,-49.591,3810.4
11.012,3012.9,181.32,-49.545,3811.8
11.021,3013.7,180.82,-49.498,3813.1
11.03,3014.6,180.33,-49.45,3814.5
11.039,3015.4,179.83,-49.403,3815.8
11.048,3016.3,179.34,-49.354,3817.2
11.057,3017.1,178.85,-49.306,3818.6
11.066,3018,178.35,-49.257,3819.9
11.075,3018.8,177.86,-49.208,3821.3
11.084,3019.7,177.36,-49.158,3822.7
11.093,3020.5,176.87,-49.108,3824
11.102,3021.4,176.37,-49.057,3825.4
11.112,3022.3,175.88,-49.006,3826.8
11.121,3023.1,175.39,-48.955,3828.2
11.13,3024,174.89,-48.903,3829.6
11.14,3024.8,174.4,-48.851,3831
11.149,3025.7,173.9,-48.798,3832.4
11.159,3026.6,173.41,-48.745,3833.7
11.168,3027.4,172.92,-48.691,3835.2
11.178,3028.3,172.42,-48.637,3836.6
11.188,3029.2,171.93,-48.583,3838
11.197,3030.1,171.44,-48.528,3839.4
11.207,3030.9,170.94,-48.473,3840.8
11.217,3031.8,170.45,-48.417,3842.2
11.227,3032.7,169.96,-48.361,3843.6
11.237,3033.6,169.46,-48.304,3845.1
11.247,3034.4,168.97,-48.247,3846.5
11.257,3035.3,168.48,-48.189,3847.9
11.267,3036.2,167.98,-48.131,3849.4
11.277,3037.1,167.49,-48.072,3850.8
11.287,3038,167,-48.013,3852.3
11.297,3038.9,166.51,-47.954,3853.7
11.308,3039.7,166.01,-47.894,3855.2
11.318,3040.6,165.52,-47.833,3856.6
11.328,3041.5,165.03,-47.772,3858.1
11.339,3042.4,164.54,-47.711,3859.6
11.349,3043.3,164.04,-47.649,3861
11.36,3044.2,163.55,-47.586,3862.5
11.37,3045.1,163.06,-47.523,3864
11.381,3046,162.57,-47.46,3865.5
11.392,3046.9,162.08,-47.396,3867
11.403,3047.8,161.58,-47.331,3868.4
11.414,3048.7,161.09,-47.266,3869.9
11.424,3049.6,160.6,-47.2,3871.4
11.435,3050.5,160.11,-47.134,3872.9
11.446,3051.4,159.62,-47.067,3874.4
11.458,3052.3,159.13,-47,3876
11.469,3053.2,158.64,-46.932,3877.5
11.48,3054.1,158.15,-46.864,3879
11.491,3055,157.65,-46.795,3880.5
11.503,3055.9,157.16,-46.725,3882
11.514,3056.8,156.67,-46.655,3883.6
11.525,3057.8,156.18,-46.584,3885.1
11.537,3058.7,155.69,-46.513,3886.7
11.549,3059.6,155.2,-46.441,3888.2
11.56,3060.5,154.71,-46.368,3889.7
11.572,3061.4,154.22,-46.295,3891.3
11.584,3062.3,153.73,-46.222,3892.9
11.596,3063.3,153.24,-46.147,3894.4
11.607,3064.2,152.75,-46.072,3896
11.619,3065.1,152.26,-45.997,3897.5
11.631,3066,151.77,-45.921,3899.1
11.644,3066.9,151.28,-45.844,3900.7
11.656,3067.9,150.79,-45.767,3902.3
11.668,3068.8,150.3,-45.688,3903.9
11.68,3069.7,149.81,-45.61,3905.5
11.693,3070.7,149.33,-45.53,3907.1
11.705,3071.6,148.84,-45.45,3908.7
11.718,3072.5,148.35,-45.37,3910.3
11.73,3073.4,147.86,-45.288,3911.9
11.743,3074.4,147.37,-45.206,3913.5
11.756,3075.3,146.88,-45.124,3915.1
11.769,3076.3,146.39,-45.04,3916.7
11.782,3077.2,145.91,-44.956,3918.4
11.795,3078.1,145.42,-44.871,3920
11.808,3079.1,144.93,-44.786,3921.6
11.821,3080,144.44,-44.699,3923.3
11.834,3080.9,143.96,-44.612,3924.9
11.847,3081.9,143.47,-44.525,3926.6
11.861,3082.8,142.98,-44.436,3928.2
11.874,3083.8,142.5,-44.347,3929.9
11.888,3084.7,142.01,-44.257,3931.6
11.901,3085.7,141.52,-44.167,3933.2
11.915,3086.6,141.04,-44.075,3934.9
11.929,3087.5,140.55,-43.983,3936.6
11.942,3088.5,140.06,-43.89,3938.3
11.956,3089.4,139.58,-43.796,3940
11.97,3090.4,139.09,-43.702,3941.7
11.984,3091.3,138.61,-43.607,3943.4
11.999,3092.3,138.12,-43.511,3945.1
12.013,3093.2,137.64,-43.414,3946.8
12.027,3094.2,137.15,-43.316,3948.5
12.042,3095.2,136.67,-43.217,3950.2
12.056,3096.1,136.18,-43.118,3951.9
12.071,3097.1,135.7,-43.018,3953.7
12.085,3098,135.22,-42.917,3955.4
12.1,3099,134.73,-42.815,3957.1
12.115,3099.9,134.25,-42.712,3958.9
12.13,3100.9,133.76,-42.608,3960.6
12.145,3101.8,133.28,-42.504,3962.4
12.16,3102.8,132.8,-42.399,3964.2
12.175,3103.8,132.32,-42.292,3965.9
12.191,3104.7,131.83,-42.185,3967.7
12.206,3105.7,131.35,-42.077,3969.5
12.222,3106.6,130.87,-41.968,3971.3
12.237,3107.6,130.39,-41.858,3973
12.253,3108.6,129.91,-41.747,3974.8
12.269,3109.5,129.43,-41.635,3976.6
12.285,3110.5,128.94,-41.523,3978.4
12.301,3111.5,128.46,-41.409,3980.2
12.317,3112.4,127.98,-41.294,3982.1
12.333,3113.4,127.5,-41.179,3983.9
12.349,3114.4,127.02,-41.062,3985.7
12.366,3115.3,126.54,-40.944,3987.5
12.382,3116.3,126.06,-40.826,3989.4
12.399,3117.2,125.59,-40.706,3991.2
12.416,3118.2,125.11,-40.586,3993.1
12.432,3119.2,124.63,-40.464,3994.9
12.449,3120.1,124.15,-40.341,3996.8
12.466,3121.1,123.67,-40.217,3998.6
12.483,3122.1,123.2,-40.093,4000.5
12.501,3123,122.72,-39.967,4002.4
12.518,3124,122.24,-39.84,4004.3
12.535,3125,121.76,-39.712,4006.2
12.553,3125.9,121.29,-39.583,4008.1
12.571,3126.9,120.81,-39.452,4010
12.589,3127.9,120.34,-39.321,4011.9
12.606,3128.8,119.86,-39.189,4013.8
12.624,3129.8,119.39,-39.055,4015.7
12.643,3130.8,118.91,-38.92,4017.6
12.661,3131.7,118.44,-38.784,4019.5
12.679,3132.7,117.97,-38.647,4021.5
12.698,3133.7,117.49,-38.509,4023.4
12.716,3134.6,117.02,-38.37,4025.4
12.735,3135.6,116.55,-38.229,4027.3
12.754,3136.5,116.08,-38.087,4029.3
12.773,3137.5,115.6,-37.944,4031.2
12.792,3138.5,115.13,-37.8,4033.2
12.811,3139.4,114.66,-37.654,4035.2
12.831,3140.4,114.19,-37.508,4037.2
12.85,3141.3,113.72,-37.36,4039.1
12.87,3142.3,113.25,-37.21,4041.1
12.889,3143.3,112.78,-37.06,4043.1
12.909,3144.2,112.31,-36.908,4045.1
12.929,3145.2,111.85,-36.755,4047.2
12.949,3146.1,111.38,-36.6,4049.2
12.969,3147.1,110.91,-36.444,4051.2
12.99,3148,110.45,-36.287,4053.2
13.01,3149,109.98,-36.129,4055.3
13.031,3149.9,109.51,-35.969,4057.3
