z,x,y
3701.7,-1.0935,5326.2
3707.2,-1.0969,5338.1
3712.6,-1.1002,5350
3718,-1.1035,5361.9
3723.4,-1.1069,5373.7
3728.7,-1.1102,5385.6
3734,-1.1134,5397.3
3739.3,-1.1167,5409.1
3744.5,-1.12,5420.8
3749.7,-1.1232,5432.5
3754.9,-1.1264,5444.2
3760,-1.1297,5455.9
3765.1,-1.1328,5467.5
3770.1,-1.136,5479.1
3775.1,-1.1392,5490.7
3780.1,-1.1423,5502.2
3785,-1.1455,5513.7
3790,-1.1486,5525.2
3794.8,-1.1517,5536.7
3799.7,-1.1547,5548.1
3804.5,-1.1578,5559.6
3809.2,-1.1609,5570.9
3814,-1.1639,5582.3
3818.7,-1.167,5593.7
3823.3,-1.17,5605
3827.9,-1.173,5616.3
3832.5,-1.176,5627.5
3837.1,-1.1789,5638.8
3841.6,-1.1819,5650
3846.1,-1.1848,5661.2
3850.6,-1.1877,5672.4
3855,-1.1906,5683.5
3859.4,-1.1935,5694.6
3863.8,-1.1964,5705.7
3868.1,-1.1992,5716.8
3872.4,-1.202,5727.9
3876.6,-1.2049,5738.9
3880.9,-1.2077,5749.9
3885.1,-1.2105,5760.9
3889.2,-1.2132,5771.9
3893.3,-1.216,5782.8
3897.4,-1.2187,5793.7
3901.5,-1.2215,5804.6
3905.5,-1.2242,5815.5
3909.5,-1.2269,5826.4
3913.5,-1.2296,5837.2
3917.4,-1.2322,5848
3921.3,-1.2349,5858.8
3925.2,-1.2375,5869.6
3929,-1.2401,5880.3
3932.9,-1.2427,5891
3936.6,-1.2452,5901.7
3940.4,-1.2478,5912.4
3944.1,-1.2503,5923.1
3947.8,-1.2528,5933.7
3951.4,-1.2553,5944.3
3955,-1.2578,5954.9
3958.6,-1.2602,5965.5
3962.2,-1.2627,5976.1
3965.7,-1.2651,5986.6
3969.2,-1.2675,5997.1
3972.7,-1.2699,6007.6
3976.1,-1.2723,6018.1
3979.5,-1.2746,6028.6
3982.9,-1.2769,6039
3986.2,-1.2792,6049.4
3989.5,-1.2815,6059.8
3992.8,-1.2838,6070.2
3996.1,-1.286,6080.6
3999.3,-1.2883,6090.9
4002.5,-1.2905,6101.2
4005.6,-1.2927,6111.5
4008.8,-1.2948,6121.8
4011.9,-1.297,6132.1
4014.9,-1.2991,6142.3
4018,-1.3012,6152.6
4021,-1.3033,6162.8
4024,-1.3054,6173
4026.9,-1.3074,6183.1
4029.8,-1.3095,6193.3
4032.7,-1.3115,6203.4
4035.6,-1.3135,6213.5
4038.4,-1.3155,6223.6
4041.2,-1.3174,6233.7
4044,-1.3193,6243.8
4046.7,-1.3212,6253.8
4049.5,-1.3231,6263.9
4052.2,-1.325,6273.9
4054.8,-1.3268,6283.9
4057.4,-1.3287,6293.9
4060,-1.3304,6303.8
4062.6,-1.3322,6313.8
4065.2,-1.334,6323.7
4067.7,-1.3357,6333.6
4070.2,-1.3374,6343.5
4072.6,-1.3391,6353.4
4075.1,-1.3408,6363.2
4077.5,-1.3425,6373.1
4079.8,-1.3441,6382.9
4082.2,-1.3457,6392.7
4084.5,-1.3473,6402.5
4086.8,-1.3488,6412.3
4089,-1.3504,6422
4091.3,-1.3519,6431.8
4093.5,-1.3534,6441.5
4095.7,-1.3549,6451.2
4097.8,-1.3563,6460.9
4099.9,-1.3577,6470.6
4102,-1.3591,6480.2
4104.1,-1.3605,6489.9
4106.1,-1.3619,6499.5
4108.1,-1.3632,6509.1
4110.1,-1.3645,6518.7
4112.1,-1.3658,6528.3
4114,-1.3671,6537.9
4115.9,-1.3683,6547.4
4117.8,-1.3695,6557
4119.6,-1.3707,6566.5
4121.4,-1.3719,6576
4123.2,-1.3731,6585.5
4125,-1.3742,6594.9
4126.7,-1.3753,6604.4
4128.4,-1.3764,6613.9
4130.1,-1.3775,6623.3
4131.8,-1.3785,6632.7
4133.4,-1.3795,6642.1
4135,-1.3805,6651.5
4136.6,-1.3815,6660.8
4138.1,-1.3824,6670.2
4139.7,-1.3833,6679.5
4141.2,-1.3842,6688.9
4142.6,-1.3851,6698.2
4144.1,-1.386,6707.5
4145.5,-1.3868,6716.8
4146.9,-1.3876,6726
4148.2,-1.3884,6735.3
4149.6,-1.3891,6744.5
4150.9,-1.3898,6753.7
4152.2,-1.3906,6763
4153.4,-1.3912,6772.2
4154.6,-1.3919,6781.3
4155.8,-1.3925,6790.5
4157,-1.3931,6799.7
4158.2,-1.3937,6808.8
4159.3,-1.3943,6817.9
4160.4,-1.3948,6827
4161.5,-1.3953,6836.1
4162.5,-1.3957,6845.2
4163.5,-1.3962,6854.3
4164.5,-1.3966,6863.4
4165.5,-1.397,6872.4
4166.5,-1.3974,6881.4
4167.4,-1.3977,6890.4
4168.3,-1.398,6899.4
4169.1,-1.3983,6908.4
4170,-1.3985,6917.4
4170.8,-1.3988,6926.4
4171.6,-1.399,6935.3
4172.3,-1.3992,6944.3
4173.1,-1.3994,6953.2
4173.8,-1.3995,6962.1
4174.5,-1.3996,6971
4175.2,-1.3997,6979.9
4175.8,-1.3997,6988.8
4176.4,-1.3998,6997.6
4177,-1.3998,7006.5
4177.6,-1.3998,7015.3
4178.1,-1.3997,7024.1
4178.6,-1.3996,7032.9
4179.1,-1.3995,7041.7
4179.5,-1.3993,7050.5
4180,-1.3992,7059.3
4180.4,-1.399,7068
4180.8,-1.3987,7076.8
4181.1,-1.3984,7085.5
4181.5,-1.3982,7094.2
4181.8,-1.3978,7102.9
4182.1,-1.3975,7111.6
4182.3,-1.3971,7120.3
4182.6,-1.3967,7129
4182.8,-1.3963,7137.6
4183,-1.3958,7146.3
4183.1,-1.3954,7154.9
4183.3,-1.3949,7163.5
4183.4,-1.3943,7172.1
4183.5,-1.3938,7180.7
4183.5,-1.3932,7189.3
4183.6,-1.3926,7197.9
4183.6,-1.3919,7206.4
4183.6,-1.3912,7215
4183.6,-1.3905,7223.5
4183.5,-1.3898,7232
4183.4,-1.389,7240.6
4183.3,-1.3882,7249.1
4183.2,-1.3873,7257.5
4183,-1.3865,7266
4182.8,-1.3856,7274.5
4182.6,-1.3846,7282.9
4182.4,-1.3836,7291.4
4182.2,-1.3826,7299.8
4181.9,-1.3816,7308.2
4181.6,-1.3805,7316.6
4181.3,-1.3794,7325
4180.9,-1.3783,7333.4
4180.5,-1.3772,7341.8
4180.1,-1.376,7350.1
4179.7,-1.3748,7358.5
4179.3,-1.3735,7366.8
4178.8,-1.3723,7375.2
4178.3,-1.371,7383.5
4177.8,-1.3697,7391.8
4177.3,-1.3683,7400.1
4176.7,-1.367,7408.3
4176.1,-1.3656,7416.6
4175.5,-1.3641,7424.9
4174.9,-1.3627,7433.1
4174.2,-1.3612,7441.3
4173.5,-1.3596,7449.6
4172.8,-1.3581,7457.8
4172.1,-1.3565,7466
4171.4,-1.3549,7474.2
4170.6,-1.3532,7482.4
4169.8,-1.3515,7490.5
4169,-1.3498,7498.7
4168.1,-1.348,7506.8
4167.3,-1.3462,7515
4166.4,-1.3444,7523.1
4165.4,-1.3425,7531.2
4164.5,-1.3406,7539.3
4163.5,-1.3387,7547.4
4162.6,-1.3367,7555.5
4161.6,-1.3347,7563.6
4160.5,-1.3327,7571.6
4159.5,-1.3306,7579.7
4158.4,-1.3285,7587.7
4157.3,-1.3264,7595.7
4156.2,-1.3242,7603.7
4155,-1.322,7611.7
4153.9,-1.3198,7619.7
4152.7,-1.3175,7627.7
4151.4,-1.3152,7635.7
4150.2,-1.3129,7643.7
4148.9,-1.3106,7651.6
4147.7,-1.3082,7659.6
4146.4,-1.3058,7667.5
4145,-1.3033,7675.4
4143.7,-1.3009,7683.3
4142.3,-1.2984,7691.2
4140.9,-1.2958,7699.1
4139.5,-1.2933,7707
4138,-1.2907,7714.9
4136.6,-1.288,7722.7
4135.1,-1.2854,7730.6
4133.6,-1.2827,7738.4
4132,-1.28,7746.2
