z,x,y
8051.3,1099.9,367.45
8059.3,1101.6,367.92
8067.2,1103.4,368.38
8075.2,1105.1,368.84
8083.1,1106.8,369.3
8090.9,1108.5,369.76
8098.7,1110.3,370.22
8106.5,1112,370.68
8114.3,1113.7,371.14
8122,1115.4,371.6
8129.7,1117.1,372.06
8137.4,1118.8,372.51
8145,1120.6,372.97
8152.7,1122.3,373.42
8160.2,1124,373.88
8167.8,1125.7,374.33
8175.3,1127.4,374.79
8182.8,1129.1,375.24
8190.3,1130.8,375.69
8197.7,1132.5,376.14
8205.1,1134.2,376.59
8212.5,1135.9,377.04
8219.8,1137.6,377.49
8227.2,1139.3,377.94
8234.4,1141,378.39
8241.7,1142.7,378.84
8248.9,1144.4,379.28
8256.1,1146.1,379.73
8263.3,1147.8,380.18
8270.4,1149.5,380.62
8277.5,1151.2,381.07
8284.6,1152.9,381.51
8291.7,1154.5,381.96
8298.7,1156.2,382.4
8305.7,1157.9,382.84
8312.6,1159.6,383.28
8319.6,1161.3,383.72
8326.5,1163,384.16
8333.4,1164.6,384.6
8340.2,1166.3,385.04
8347,1168,385.48
8353.8,1169.7,385.92
8360.6,1171.4,386.36
8367.3,1173,386.8
8374,1174.7,387.23
8380.7,1176.4,387.67
8387.3,1178.1,388.11
8393.9,1179.7,388.54
8400.5,1181.4,388.98
8407.1,1183.1,389.41
8413.6,1184.7,389.84
8420.1,1186.4,390.28
8426.6,1188.1,390.71
8433,1189.7,391.14
8439.5,1191.4,391.57
8445.8,1193,392.01
8452.2,1194.7,392.44
8458.5,1196.4,392.87
8464.9,1198,393.3
8471.1,1199.7,393.72
8477.4,1201.3,394.15
8483.6,1203,394.58
8489.8,1204.7,395.01
8496,1206.3,395.44
8502.1,1208,395.86
8508.2,1209.6,396.29
8514.3,1211.3,396.71
8520.3,1212.9,397.14
8526.4,1214.6,397.56
8532.4,1216.2,397.99
8538.3,1217.9,398.41
8544.3,1219.5,398.84
8550.2,1221.1,399.26
8556.1,1222.8,399.68
8561.9,1224.4,400.1
8567.8,1226.1,400.52
8573.6,1227.7,400.95
8579.3,1229.4,401.37
8585.1,1231,401.79
8590.8,1232.6,402.21
8596.5,1234.3,402.63
8602.2,1235.9,403.04
8607.8,1237.5,403.46
8613.4,1239.2,403.88
8619,1240.8,404.3
8624.6,1242.4,404.72
8630.1,1244.1,405.13
8635.6,1245.7,405.55
8641.1,1247.3,405.96
8646.5,1249,406.38
8651.9,1250.6,406.79
8657.3,1252.2,407.21
8662.7,1253.9,407.62
8668,1255.5,408.04
8673.4,1257.1,408.45
8678.6,1258.7,408.86
8683.9,1260.3,409.28
8689.1,1262,409.69
8694.3,1263.6,410.1
8699.5,1265.2,410.51
8704.7,1266.8,410.92
8709.8,1268.5,411.33
8714.9,1270.1,411.74
