# Altitude (m),Position East of launch (m),Position North of launch (m)
4203.4,280.13,5896.9
4207.5,280.49,5907.6
4211.5,280.86,5918.3
4215.5,281.22,5929
4219.5,281.58,5939.6
4223.4,281.93,5950.3
4227.3,282.29,5960.9
4231.2,282.65,5971.5
4235.1,283,5982.1
4238.9,283.35,5992.6
4242.7,283.7,6003.2
4246.4,284.05,6013.7
4250.2,284.4,6024.2
4253.9,284.75,6034.7
4257.5,285.1,6045.1
4261.2,285.44,6055.6
4264.8,285.78,6066
4268.3,286.13,6076.4
4271.9,286.47,6086.8
4275.4,286.81,6097.2
4278.9,287.15,6107.6
4282.3,287.48,6117.9
4285.7,287.82,6128.2
4289.1,288.15,6138.6
4292.5,288.49,6148.9
4295.8,288.82,6159.1
4299.1,289.15,6169.4
4302.4,289.48,6179.6
4305.6,289.81,6189.9
4308.9,290.14,6200.1
4312,290.46,6210.3
4315.2,290.79,6220.4
4318.3,291.11,6230.6
4321.4,291.43,6240.7
4324.5,291.76,6250.9
4327.5,292.08,6261
4330.5,292.4,6271.1
4333.5,292.71,6281.1
4336.5,293.03,6291.2
4339.4,293.35,6301.3
4342.3,293.66,6311.3
4345.1,293.97,6321.3
4348,294.29,6331.3
4350.8,294.6,6341.3
4353.5,294.91,6351.2
4356.3,295.22,6361.2
4359,295.52,6371.1
4361.7,295.83,6381.1
4364.3,296.14,6391
4367,296.44,6400.9
4369.6,296.74,6410.7
4372.2,297.05,6420.6
4374.7,297.35,6430.4
4377.2,297.65,6440.3
4379.7,297.95,6450.1
4382.2,298.25,6459.9
4384.6,298.54,6469.7
4387,298.84,6479.4
4389.4,299.13,6489.2
4391.7,299.43,6498.9
4394.1,299.72,6508.7
4396.4,300.01,6518.4
4398.6,300.3,6528.1
4400.9,300.59,6537.8
4403.1,300.88,6547.4
4405.2,301.17,6557.1
4407.4,301.46,6566.7
4409.5,301.74,6576.4
4411.6,302.03,6586
4413.7,302.31,6595.6
4415.7,302.59,6605.2
4417.8,302.88,6614.7
4419.8,303.16,6624.3
4421.7,303.44,6633.8
4423.7,303.71,6643.4
4425.6,303.99,6652.9
4427.4,304.27,6662.4
4429.3,304.55,6671.9
4431.1,304.82,6681.4
4432.9,305.09,6690.8
4434.7,305.37,6700.3
4436.4,305.64,6709.7
4438.2,305.91,6719.1
4439.9,306.18,6728.5
4441.5,306.45,6737.9
4443.2,306.72,6747.3
4444.8,306.99,6756.7
4446.4,307.25,6766
4447.9,307.52,6775.4
4449.5,307.78,6784.7
4451,308.05,6794
4452.4,308.31,6803.3
4453.9,308.57,6812.6
4455.3,308.83,6821.9
4456.7,309.09,6831.2
4458.1,309.35,6840.4
4459.4,309.61,6849.7
4460.8,309.86,6858.9
4462.1,310.12,6868.1
4463.3,310.38,6877.3
4464.6,310.63,6886.5
4465.8,310.89,6895.7
