# PML Intruder 38mm J270-11 (Up to date)
# 1029 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.4292064,339.7599092,241.0685508,10.9692946,43.7789553,47.1831717,17.9887561
2.4460822,343.7745072,240.0612705,11.0448792,44.3778161,47.1831771,17.9887571
2.471396,349.76433,238.5099181,11.1583271,45.2715193,47.1831851,17.9887586
2.4901957,354.1873851,237.3233779,11.2432155,45.9310041,47.1831911,17.9887598
# Event BURNOUT occurred at t=2.5 seconds
2.5,356.4852843,236.6932143,11.2877819,46.2733835,47.1831941,17.9887604
2.5147064,359.9206778,235.7454252,11.3549229,46.7850206,47.1831987,17.9887612
2.5367661,365.0480075,234.3360677,11.4556122,47.5488156,47.1832056,17.9887626
2.5499457,368.0966692,233.5013853,11.5154126,48.0034114,47.1832097,17.9887634
2.5611198,370.6728921,232.7984769,11.5658205,48.3879123,47.1832132,17.988764
2.5744956,373.7464829,231.9632521,11.6258703,48.8470095,47.1832173,17.9887648
2.5945593,378.3362113,230.7232163,11.7157279,49.5329414,47.1832235,17.988766
2.6246548,385.1750911,228.890285,11.8514399,50.554421,47.1832326,17.9887678
2.6347205,387.4503534,228.2838933,11.8973293,50.8938493,47.1832357,17.9887684
2.6451869,389.8098216,227.6566112,11.9453387,51.2455895,47.1832389,17.9887691
2.658461,392.7929509,226.8655453,12.0065609,51.690032,47.1832429,17.9887699
2.6783721,397.2482677,225.6877934,12.0987326,52.353606,47.1832488,17.9887711
2.7082388,403.8878938,223.9402781,12.2365678,53.3432575,47.1832577,17.9887729
2.7195363,406.38595,223.2852845,12.2882825,53.7161304,47.1832611,17.9887736
2.7289764,408.4676653,222.7407849,12.3312276,54.0271729,47.1832639,17.9887742
2.7386431,410.5940438,222.1861352,12.3749524,54.3451852,47.1832667,17.9887747
2.7501712,413.1229419,221.5287888,12.4268241,54.7237309,47.1832701,17.9887754
2.7674634,416.9022452,220.5513182,12.5043486,55.2898551,47.1832752,17.9887765
2.7934017,422.5400693,219.1031328,12.6210301,56.1342625,47.1832828,17.988778
2.8053679,425.1285607,218.4416536,12.6753144,56.5216115,47.1832863,17.9887787
2.8154753,427.3089001,217.8860023,12.7214684,56.8476356,47.1832892,17.9887793
2.8248328,429.322559,217.3739757,12.7644681,57.1485107,47.1832919,17.9887799
2.8348965,431.4829477,216.8257593,12.8109828,57.4710883,47.1832948,17.9887805
2.8477937,434.2436623,216.1266889,12.870904,57.8830668,47.1832986,17.9887813
2.8671395,438.3680778,215.0848652,12.9610417,58.4984494,47.1833041,17.9887825
2.8961581,444.5173669,213.5368593,13.0955882,59.4169681,47.1833123,17.9887843
2.9088252,447.1876679,212.8670965,13.1538126,59.8164743,47.1833159,17.9887851
2.9200253,449.5416783,212.2781178,13.2049761,60.1690469,47.1833191,17.9887857
2.931348,451.9148085,211.686057,13.2563965,60.5248531,47.1833223,17.9887864
2.9452751,454.8246914,210.9627696,13.3193128,60.9615597,47.1833262,17.9887872
2.9661659,459.1708682,209.8882749,13.4134287,61.6142753,47.1833321,17.9887885
2.9909692,464.3024112,208.6276774,13.5258405,62.3845838,47.183339,17.98879
3.0016314,466.4988915,208.0903309,13.5746211,62.7139528,47.183342,17.9887906
3.0123808,468.7076208,207.5511421,13.6240999,63.0449249,47.183345,17.9887913
3.025998,471.4974411,206.8715393,13.6871106,63.4627359,47.1833487,17.9887921
3.0464238,475.6650707,205.8587796,13.7818893,64.0868276,47.1833543,17.9887934
3.0770625,481.8781978,204.35468,13.9233982,65.0183275,47.1833627,17.9887952
3.0989077,486.2802878,203.2945559,14.0236011,65.6793222,47.1833687,17.9887966
3.1316755,492.8406167,201.7240539,14.17339,66.6654131,47.1833775,17.9887985
3.1808272,502.5864228,199.4110476,14.3980695,68.1315163,47.1833907,17.9888015
3.2308272,512.3861378,197.1080234,14.6272145,69.6066635,47.183404,17.9888045
3.2501467,516.1423668,196.2314484,14.7163946,70.1718716,47.1834091,17.9888057
3.2678015,519.5603497,195.4360799,14.7984028,70.6858802,47.1834137,17.9888068
3.2942836,524.6613701,194.2519337,14.9217369,71.4530405,47.1834206,17.9888084
3.323871,530.3238603,192.9413097,15.0588479,72.3058446,47.1834283,17.9888103
3.3386478,533.1374647,192.2922263,15.1267901,72.7303294,47.1834321,17.9888112
3.3547489,536.1923833,191.5898145,15.2004272,73.1917732,47.1834362,17.9888121
3.3789005,540.753817,190.5465927,15.3106081,73.881367,47.1834424,17.9888136
3.4086536,546.3391803,189.2772798,15.4472907,74.7253505,47.18345,17.9888154
3.4249364,549.3801512,188.5887137,15.5227861,75.1844224,47.1834541,17.9888164
3.4493606,553.9208901,187.5626385,15.6364495,75.8698202,47.1834603,17.9888179
3.4859969,560.6855963,186.0394607,15.8064387,76.892173,47.1834695,17.9888202
3.5168696,566.3433206,184.7728987,15.9489852,77.7486306,47.1834772,17.988822
3.5631788,574.7579001,182.9033603,16.1632964,79.0231474,47.1834887,17.9888249
3.5965184,580.7632363,181.5773882,16.3187904,79.9324779,47.1834968,17.9888269
3.6465184,589.6880819,179.6161835,16.552906,81.2844522,47.183509,17.98883
3.6965184,598.5163668,177.6878773,16.7861175,82.6244887,47.1835211,17.9888331
3.7294219,604.2741531,176.4395991,16.939021,83.4999977,47.1835289,17.9888351
3.7652985,610.5062613,175.0977839,17.1069942,84.4472815,47.1835375,17.9888374
3.7881206,614.4460725,174.2523882,17.2148492,85.0456325,47.1835428,17.9888388
3.8223538,620.3201086,172.9939019,17.3771213,85.937981,47.1835509,17.9888409
3.8451488,624.2077791,172.1620359,17.484692,86.529537,47.1835562,17.9888424
3.8606526,626.8411886,171.5999291,17.5574069,86.9309113,47.1835598,17.9888433
3.8817428,630.4096006,170.8416592,17.6559413,87.4754666,47.1835647,17.9888446
3.9133781,635.7327023,169.7176311,17.8040764,88.2881006,47.183572,17.9888466
3.9389294,640.0065726,168.8191464,17.9246455,88.9402002,47.1835779,17.9888482
3.9703706,645.2346165,167.7236146,18.0740289,89.737559,47.183585,17.9888502
4.0000627,650.1407487,166.6993841,18.2161562,90.4854781,47.1835918,17.988852
4.0354225,655.9442356,165.4884284,18.3861185,91.3703878,47.1835997,17.9888543
4.0513491,658.5443055,164.9454537,18.46224,91.7675914,47.1836033,17.9888553
4.0633681,660.5007384,164.5373807,18.5193339,92.0669505,47.183606,17.988856
4.0762798,662.5970431,164.1011988,18.5803475,92.3881591,47.1836089,17.9888569
4.0925338,665.2280145,163.5557624,18.6568019,92.7918332,47.1836125,17.9888579
4.1169148,669.1580295,162.7455181,18.7712371,93.3954668,47.1836179,17.9888594
4.1534862,675.0167031,161.5460611,18.944112,94.2950255,47.183626,17.9888617
4.1672978,677.2180991,161.0970635,19.0101189,94.6326027,47.1836291,17.9888625
4.1825186,679.6370442,160.604253,19.0833192,95.0032634,47.1836324,17.9888635
4.2035204,682.9626004,159.9272058,19.1848777,95.5126017,47.183637,17.9888649
4.2350232,687.9245939,158.9174802,19.3375897,96.2728723,47.1836438,17.9888669
4.2728005,693.8333436,157.7166315,19.5199826,97.179995,47.183652,17.9888693
4.2976386,697.6937461,156.9347123,19.6391897,97.7739979,47.1836573,17.9888709
4.3348957,703.4483566,155.7751246,19.8175267,98.6609003,47.1836653,17.9888732
4.3848957,711.10447,154.2426023,20.0580453,99.8415354,47.1836759,17.9888764
4.4205393,716.5162973,153.1638055,20.2309168,100.6759785,47.1836834,17.9888787
4.4705393,724.0440198,151.6666745,20.4744959,101.8374101,47.1836938,17.9888819
4.5205393,731.4977674,150.18791,20.7174163,102.9902068,47.1837042,17.9888851
4.5538962,736.4297422,149.21352,20.8786603,103.7550007,47.1837111,17.9888873
4.6038962,743.7624034,147.7731518,21.1199155,104.8943328,47.1837213,17.9888905
4.6538962,751.0242404,146.356092,21.3622728,106.0237879,47.1837315,17.9888937
4.6848697,755.4877644,145.4891253,21.5137029,106.7178471,47.1837377,17.9888957
4.7059767,758.5143188,144.902554,21.6177082,107.1881491,47.183742,17.988897
4.7321842,762.2552571,144.177583,21.7475828,107.769284,47.1837472,17.9888988
4.7714955,767.8313771,143.0952923,21.9425694,108.6364831,47.183755,17.9889013
4.7935945,770.9474174,142.4897165,22.0515849,109.1222921,47.1837594,17.9889028
4.8109908,773.3909557,142.0152846,22.1369033,109.5040602,47.1837628,17.9889039
4.8304428,776.113523,141.4881884,22.2318462,109.9302054,47.1837666,17.9889052
4.8596208,780.1783161,140.7050055,22.3738406,110.5675127,47.1837724,17.9889071
4.9033879,786.2332539,139.5446644,22.587213,111.5179603,47.1837809,17.9889099
4.9533274,793.0810572,138.2377333,22.8321303,112.5936294,47.1837906,17.9889131
5.0033274,799.8727302,136.9463844,23.0787176,113.6614923,47.1838002,17.9889164
5.0533274,806.6007343,135.669727,23.3265328,114.7205121,47.1838097,17.9889197
