# PML Intruder 38mm J425-13 SW (Up to date)
# 1046 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.9770639,109.032443,217.7626212,6.7561095,2.9777944,47.1828048,17.9887004
0.9868494,111.1703198,219.6564428,6.8530449,2.999214,47.182805,17.9887017
0.9958667,113.156778,221.3948824,6.9423317,3.0183003,47.1828051,17.9887029
1.0052864,115.2486153,223.2060097,7.0355779,3.0375868,47.1828053,17.9887041
1.0161994,117.6934112,225.2981886,7.1436461,3.0591701,47.1828055,17.9887055
1.0321473,121.3070956,228.3367646,7.30193,3.0895326,47.1828058,17.9887076
1.0560691,126.8178465,232.8362307,7.5412938,3.1336434,47.1828062,17.9887108
1.0685485,129.7351581,235.1552684,7.6675963,3.1565101,47.1828064,17.9887125
1.0781585,132.0013289,236.9289525,7.7656692,3.1742054,47.1828065,17.9887138
1.0876403,134.253927,238.6706186,7.8631364,3.1917542,47.1828067,17.988715
1.0985148,136.8576738,240.6603506,7.9757201,3.2119343,47.1828069,17.9887165
1.1148266,140.8037307,243.6285512,8.1458895,3.2420063,47.1828072,17.9887188
1.1392943,146.8130395,248.0278522,8.4027388,3.2853558,47.1828075,17.9887222
1.1494579,149.3407584,249.833837,8.5096391,3.3023887,47.1828077,17.9887236
1.1588335,151.6887569,251.4924961,8.6082931,3.3175287,47.1828078,17.9887249
1.1708286,154.7154265,253.6060052,8.7346721,3.3362019,47.182808,17.9887266
1.1888212,159.3028088,256.7547421,8.9250761,3.3632518,47.1828082,17.9887291
1.2092623,164.5825044,260.2687205,9.1435488,3.3935757,47.1828085,17.988732
1.2193065,167.2029637,261.9682778,9.2519484,3.4085446,47.1828087,17.9887334
1.2300631,170.0281208,263.7782038,9.3687896,3.4246271,47.1828088,17.988735
1.2453582,174.0787441,266.3398473,9.5360441,3.4473662,47.182809,17.9887372
1.2683009,180.2278041,270.1472103,9.7883837,3.480205,47.1828093,17.9887405
1.2811941,183.7215441,272.257882,9.9305292,3.4975625,47.1828095,17.9887424
1.2928777,186.9109502,274.1528169,10.0594543,3.5125175,47.1828096,17.9887441
1.3084155,191.1865205,276.6391506,10.23123,3.5314284,47.1828098,17.9887464
1.3317221,197.6714095,280.284712,10.490399,3.5585707,47.18281,17.9887498
1.3470818,201.9907352,282.590805,10.6626413,3.5761668,47.1828102,17.9887521
1.361147,205.9764274,284.6054006,10.8214283,3.5921901,47.1828103,17.9887542
1.3822449,212.0052152,287.339993,11.0609916,3.615706,47.1828105,17.9887574
1.4138917,221.143738,290.6106172,11.4214146,3.6483953,47.1828108,17.9887621
1.4292941,225.6261782,291.886503,11.5969613,3.6630598,47.1828109,17.9887644
1.4523978,232.3851283,293.6515367,11.8607179,3.6840579,47.1828111,17.9887679
1.4769765,239.6183764,295.3716629,12.1429488,3.7062997,47.1828113,17.9887717
1.4888552,243.1288324,296.1362084,12.2801303,3.7172419,47.1828114,17.9887735
1.5066733,248.4107847,297.1900619,12.4865731,3.733671,47.1828116,17.9887762
1.5334003,256.3647079,298.4422492,12.7960663,3.7568526,47.1828118,17.9887803
1.5429865,259.2248542,298.7433111,12.9067781,3.7645531,47.1828119,17.9887818
1.5558837,263.0768529,299.0407217,13.0555403,3.7745303,47.1828119,17.9887837
1.5752294,268.8595774,299.2265761,13.2788442,3.7893771,47.1828121,17.9887867
