# PML Intruder 38 mm J425-13 (Up to date)
# 1049 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.1521202,149.1075313,249.9133294,7.7058049,14.8435048,47.1829115,17.988713
1.1582238,150.6244174,250.9902392,7.758095,15.0254661,47.1829131,17.9887137
1.1648517,152.2789584,252.1568847,7.8147306,15.2244165,47.1829149,17.9887144
1.1728427,154.2838835,253.5597685,7.8828647,15.4661003,47.1829171,17.9887153
1.1848292,157.3119897,255.6556878,7.9849681,15.832139,47.1829204,17.9887167
1.2028089,161.9004123,258.75917,8.1386689,16.3882517,47.1829254,17.9887187
1.2119263,164.2481619,260.3105238,8.2171583,16.6731363,47.1829279,17.9887197
1.2197292,166.268527,261.6274725,8.2846984,16.918388,47.1829302,17.9887206
1.2276398,168.3271797,262.9575137,8.3535121,17.1683728,47.1829324,17.9887215
1.2368782,170.7445273,264.5060528,8.4342552,17.4620718,47.182935,17.9887226
1.2507358,174.3970473,266.818659,8.5558947,17.9063978,47.182939,17.9887242
1.2715222,179.9349138,270.2523587,8.7386056,18.5822777,47.1829451,17.9887266
1.2817963,182.6980133,271.9284729,8.828706,18.9208116,47.1829482,17.9887278
1.2908699,185.1523372,273.3980703,8.9080934,19.2223058,47.1829509,17.9887289
1.3010316,187.9165316,275.0286343,8.9968357,19.5627038,47.1829539,17.98873
1.3162742,192.093279,277.4425937,9.1298515,20.0784665,47.1829586,17.9887318
1.3391381,198.4255877,280.966316,9.3300136,20.8626237,47.1829656,17.9887345
1.3537347,202.5090848,283.1126425,9.4586527,21.369138,47.1829702,17.9887362
1.3657947,205.9057839,284.7906376,9.5655439,21.7907866,47.182974,17.9887376
1.3787631,209.5798762,286.4578615,9.6810483,22.2471989,47.1829781,17.9887391
1.3982159,215.1281649,288.6409736,9.8549261,22.9374272,47.1829843,17.9887414
1.4242995,222.6263464,291.0109351,10.0879126,23.8731784,47.1829927,17.9887445
1.4376339,226.4818945,292.0621859,10.2067195,24.3557694,47.182997,17.9887461
1.4576355,232.2902722,293.5436211,10.3848661,25.0841601,47.1830036,17.9887484
1.487638,241.055034,295.5754633,10.6531521,26.1849158,47.1830135,17.988752
1.5137781,248.736822,297.0661348,10.8879602,27.1510425,47.1830222,17.9887551
1.5529883,260.3171008,298.517579,11.2405684,28.6108369,47.1830353,17.9887597
1.6029883,275.1179169,298.4581985,11.6899993,30.4812165,47.1830521,17.9887657
1.6529883,289.8637858,296.3599057,12.1401861,32.3460538,47.1830689,17.9887716
1.7029883,304.4787354,293.1958632,12.5885983,34.1958774,47.1830855,17.9887776
1.7529883,318.9274262,289.6602977,13.0355867,36.0247857,47.183102,17.9887835
1.8029883,333.1994697,286.0746609,13.4808856,37.8313705,47.1831182,17.9887894
1.8529883,347.2944189,282.5166348,13.9252205,39.6147471,47.1831343,17.9887953
1.9029883,361.2095506,278.8265775,14.3678276,41.3752244,47.1831501,17.9888011
1.9529883,374.9376347,274.9777237,14.8081619,43.1121641,47.1831657,17.9888069
# Event BURNOUT occurred at t=1.996 seconds
1.996,386.5915201,271.5292945,15.1859542,44.5857269,47.183179,17.9888119
2.046,399.9502624,267.3773064,15.6235364,46.2738737,47.1831942,17.9888177
2.096,413.1063172,263.358312,16.0580177,47.9366299,47.1832091,17.9888235
2.146,426.066381,259.4695209,16.4910611,49.5734487,47.1832238,17.9888292
2.196,438.8364412,255.6976498,16.9217038,51.1861064,47.1832383,17.9888349
2.2412629,450.237578,252.3840323,17.3091025,52.6262878,47.1832513,17.98884
2.274335,458.4750627,250.0193833,17.5919322,53.6659239,47.1832606,17.9888438
2.296256,463.892676,248.4767841,17.7794816,54.349074,47.1832668,17.9888463
2.3291375,471.956687,246.1968077,18.0601904,55.3657836,47.1832759,17.98885
2.3465151,476.1885436,245.0081771,18.2076978,55.8998102,47.1832807,17.9888519
